BBL,Required to report automated water data from DEP? Y/N,Esmnt,Building Class ,Tax Class,Building Count,DOF Gross Square Footage,,,Zip Code,"Multiple Buildings less than 100,000 with one of the buildings on the tax lot greater than 25,000 GSF",Address
1000210004,YES, ,O4,4,1,"335,184",,,10006,,65 BROADWAY
1000210006,NO, ,D5,2,1,"303,086",,,10006,,71 BROADWAY
1000220013,NO, ,O4,4,1,"860,889",,,10004,,26 BROADWAY
1000220017,NO, ,O6,4,1,"143,000",,,10004,,32 BROADWAY
1000220020,NO, ,O4,4,1,"389,927",,,10004,,42 BROADWAY
1000220024,NO, ,O4,4,1,"300,676",,,10004,,50 BROADWAY
1000220028,YES, ,O6,4,1,"345,540",,,10004,,52 BROADWAY
1000230019,NO, ,O4,4,2,"240,279",,,10004,,11 WALL STREET
1000230050,YES, ,D9,2,1,"466,820",,,10004,,20 BROAD STREET
1000237501,NO, ,R0,2,1,"1,161,292",,,10005,,1 WALL STREET
1000240001,YES, ,O4,4,1,"974,958",,,10004,,60 BROAD STREET
1000240029,YES, ,O4,4,1,"370,000",,,10004,,30 BROAD STREET
1000240036,YES, ,O4,4,1,"205,940",,,10004,,50 BROAD STREET
1000247501,YES, ,R0,2,1,"319,910",,,10004,,40 BROAD STREET
1000250001,YES, ,O4,4,1,"406,025",,,10004,,55 BROAD STREET
1000250010,YES, ,W8,4,1,"91,553",,,10004,,41 BROAD STREET
1000250027,YES, ,O4,4,1,"239,071",,,10004,,40 EXCHANGE PLACE
1000257501,YES, ,R0,2,1,"530,168",,,10005,,15 WILLIAM STREET
1000257502,NO, ,R0,2,1,"433,463",,,10004,,25 BROAD STREET
1000260014,NO, ,D5,2,2,"377,214",,,10005,,37 WALL STREET
1000260021,YES, ,D9,2,1,"493,187",,,10005,,45 WALL STREET
1000267501,YES, ,R0,2,1,"944,252",,,10005,,15 BROAD STREET
1000270009,YES, ,D5,2,1,"400,531",,,10005,,63 WALL STREET
1000270017,YES, ,D5,2,1,"305,271",,,10005,,67 WALL STREET
1000277501,NO, ,R0,2,1,"263,582",,,10005,,55 WALL STREET
1000277502,YES, ,R0,2,1,"786,942",,,10005,,20 EXCHANGE PLACE
1000280001,YES, ,D0,2,1,"239,121",,,10004,,3 HANOVER SQUARE
1000280005,NO, ,O4,4,1,"292,466",,,10004,,5 HANOVER SQUARE
1000280012,YES, ,O4,4,1,"95,325",,,10005,,76 BEAVER STREET
1000287501,NO, ,R0,2,1,"108,373",,,10005,,82 BEAVER STREET
1000290001,YES, ,O4,4,1,"1,007,569",,,10004,,85 BROAD STREET
1000290036,YES, ,O3,4,1,"105,000",,,10004,,1 WILLIAM STREET
1000290070,YES, ,O4,4,1,"661,283",,,10004,,75 BROAD STREET
1000290086,YES, ,G1,4,1,"87,775",,,10004,,14 SOUTH WILLIAM STREET
1000297502,YES, ,R0,2,1,"35,560",,,10004,,1 HANOVER SQUARE
1000297503,YES, ,R0,2,1,"25,483",,,10004,,21 SOUTH WILLIAM STREET
1000290073,YES,,O3,4,1,"97,596",,,10004,,44 BEAVER STREET
1000300005,NO, ,K4,4,1,"85,472",,,10004,,46 WATER STREET
1000307501,NO, ,R0,2,1,"806,170",,,10004,,7 HANOVER SQUARE
1000310001,YES, ,D6,2,1,"487,404",,,10005,,10 HANOVER SQUARE
1000317501,NO, ,R0,2,1,"683,289",,,10005,,75 WALL STREET
1000327501,NO, ,R0,2,1,"3,678,000",,,10041,,43 WATER STREET
1000330001,YES, ,O4,4,1,"541,568",,,10005,,77 WATER STREET
1000330011,NO, ,D5,2,1,"473,460",,,10005,,95 WALL STREET
1000337501,YES, ,R0,2,1,"106,598",,,10005,,101 WALL STREET
1000340037,NO,,P7,4,1,"19,568",,,10005,,100 OLD SLIP
1000350001,YES, ,O4,4,1,"973,587",,,10005,,77 FRONT STREET
1000350010,YES, ,O4,4,1,"990,250",,,10005,,111 WALL STREET
1000360012,NO,,Y7,4,1,"320,800",,,,, PIER 9
1000360018,NO,,T2,4,1,"199,625",,,10005,,1 PIER 11
1000360025,NO,,T2,4,2,"202,275",,,10004,,13 SOUTH STREET
1000360030,NO,,T2,4,1,"169,425",,,,,PIER14 SOUTH STREET
1000370008,YES, ,H9,4,1,"267,570",,,10005,,110 WALL STREET
1000370013,YES, ,H3,4,1,"34,613",,,10005,,129 FRONT STREET
1000370023,NO, ,O4,4,1,"1,079,361",,,10005,,180 MAIDEN LANE
1000380001,NO, ,O4,4,1,"463,664",,,10005,,100 WALL STREET
1000380017,YES, ,O4,4,1,"664,990",,,10005,,88 PINE STREET
1000390001,NO, ,H1,4,1,"122,157",,,10005,,88 WALL STREET
1000390012,YES, ,O4,4,1,"1,104,184",,,10005,,110 MAIDEN LANE
1000390038,NO, ,H3,4,1,"42,568",,,10005,,126 WATER STREET
1000390041,YES, ,HB,4,1,"54,432",,,10005,,120 WATER STREET
1000397501,NO, ,R0,2,1,"117,641",,,10005,,164 PEARL STREET
1000400003,NO, ,O4,4,1,"1,617,206",,,10005,,60 WALL STREET
1000400014,YES, ,O4,4,1,"281,755",,,10005,,48 WALL STREET
1000400016,YES, ,H3,4,1,"119,467",,,10005,,52 WILLIAM STREET
1000407501,YES, ,R0,2,1,"306,787",,,10005,,73 PINE STREET
1000410015,NO, ,H5,4,1,"49,197",,,10005,,60 PINE STREET
1000410024,YES, ,O6,4,1,"42,000",,,10005,,62 WILLIAM STREET
1000417501,YES, ,R0,2,1,"45,352",,,10005,,50 PINE STREET
1000417503,NO, ,R0,2,1,"81,412",,,10005,,56 PINE STREET
1000417504,YES, ,R0,2,1,"975,719",,,10005,,66 PINE STREET
1000420001,YES, ,D6,2,1,"290,116",,,10038,,100 MAIDEN LANE
1000420022,YES, ,D8,2,1,"431,000",,,10005,,10 LIBERTY STREET
1000420031,YES, ,O4,4,1,"527,605",,,10038,,80 MAIDEN LANE
1000420036,YES, ,O5,4,1,"33,529",,,10038,,90 MAIDEN LANE
1000430001,NO, ,O4,4,1,"289,049",,,10005,,44 WALL STREET
1000430002,NO, ,O4,4,1,"1,061,286",,,10005,,40 WALL STREET
1000440001,YES, ,O4,4,1,"2,224,200",,,10005,,28 LIBERTY STREET
1000447501,YES, ,R0,2,1,"583,639",,,10005,,18 PINE STREET
1000460001,YES, ,O4,4,1,"173,159",,,10005,,2 WALL STREET
1000460003,YES, ,O4,4,1,"364,390",,,10005,,100 BROADWAY
1000460009,NO, ,O4,4,1,"839,749",,,10005,,14 WALL STREET
1000477501,YES, ,R0,2,1,"1,736,513",,,10271,,120 BROADWAY
1000480001,YES, ,O4,4,1,"1,141,276",,,10005,,140 BROADWAY
1000490002,YES, ,O4,4,1,"432,093",,,10006,,111 BROADWAY
1000500001,NO, ,O4,4,1,"396,607",,,10006,,115 BROADWAY
1000510001,YES, ,O4,4,1,"400,294",,,10006,,101 GREENWICH STREET
1000510007,NO, ,O4,4,1,"281,121",,,10006,,68 TRINITY PLACE
1000510013,NO, ,O3,4,1,"181,725",,,10006,,86 TRINITY PLACE
1000510014,NO, ,D8,2,1,"455,815",,,10006,,125 GREENWICH STREET
1000510015,NO,,W1,4,1,"83,362",,,10006,,90 TRINITY PLACE
1000520008,NO, ,H2,4,1,"130,054",,,10006,,133 GREENWICH STREET
1000520021,NO, ,D7,2,1,"57,945",,,10006,,120 LIBERTY STREET
1000527502,YES, ,R0,2,1,"74,409",,,10006,,114 LIBERTY STREET
1000520001,YES,,W1,4,1,"102,591",,,10006,,96 TRINITY PLACE
1000530002,YES, ,H2,4,1,"142,236",,,10006,,99 WASHINGTON STREET
1000530033,YES, ,D8,2,1,"57,941",,,10006,,110 GREENWICH STREET
1000530038,YES, ,H2,4,1,"70,918",,,10006,,100 GREENWICH STREET
1000537501,YES, ,R0,2,1,"66,872",,,10006,,120 GREENWICH STREET
1000537502,YES, ,R0,2,1,"396,477",,,10006,,123 WASHINGTON STREET
1000550014,NO, ,D8,2,1,"258,071",,,10006,,71 WEST STREET
1000550016,YES, ,H2,4,1,"420,322",,,10006,,80 WEST STREET
1000557501,YES, ,R0,2,1,"449,355",,,10006,,40 RECTOR STREET
1000560001,YES, ,H2,4,1,"181,297",,,10006,,140 WASHINGTON STREET
1000560004,YES, ,D5,2,1,"357,001",,,10006,,90 WEST STREET
1000627501,NO, ,R0,2,1,"2,139,035",,,10006,,1 LIBERTY PLAZA
1000630003,YES, ,O4,4,1,"647,875",,,10007,,22 CORTLANDT STREET
1000630006,YES, ,K3,4,1,"49,109",,,10007,,21 DEY STREET
1000637501,NO, ,R0,2,1,"257,535",,,10007,,7 DEY STREET
1000640001,YES, ,H2,4,1,"42,012",,,10005,,51 NASSAU STREET
1000640008,NO, ,D4,2,1,"167,448",,,10005,,53 LIBERTY STREET
1000640009,YES, ,O2,4,1,"30,681",,,10005,,59 LIBERTY STREET
1000640012,NO, ,O4,4,1,"279,669",,,10038,,150 BROADWAY
1000640015,NO, ,O6,4,3,"150,000",,,10038,,160 BROADWAY
1000647502,NO, ,R0,2,1,"167,280",,,10038,,170 BROADWAY
1000650006,YES, ,D6,2,1,"37,800",,,10038,,21 MAIDEN LANE
1000650007,YES, ,O4,4,1,"124,910",,,10038,,15 MAIDEN LANE
1000650010,NO, ,D5,2,1,"58,354",,,10038,,9 MAIDEN LANE
1000650017,NO, ,D4,2,1,"168,176",,,10038,,176 BROADWAY
1000650020,YES, ,D6,2,1,"31,118",,,10038,,12 JOHN STREET
1000650024,YES, ,H1,4,1,"50,616",,,10038,,24 JOHN STREET
1000657501,NO, ,R0,2,1,"32,342",,,10038,,65 NASSAU STREET
1000657502,YES, ,R0,2,1,"149,223",,,10038,,180 BROADWAY
1000660001,YES, ,O3,4,1,"640,000",,,10005,,19 LIBERTY STREET
1000670001,YES, ,O4,4,1,"1,073,000",,,10038,,59 MAIDEN LANE
