BBL,ADDRESS,BOROUGH,ZIP CODE,LIST
1005480070,300 MERCER STREET,MANHATTAN,10003,RENT
1005487501,60 EAST 8 STREET,MANHATTAN,10003,RENT
1005500013,1 1/2 5 AVENUE,MANHATTAN,10003,RENT
1005510001,2 5 AVENUE,MANHATTAN,10011,RENT
1005520010,82 WEST WASHINGTON PLACE,MANHATTAN,10011,RENT
1005520026,37 WASHINGTON SQUARE WEST,MANHATTAN,10011,RENT
1005520060,29 WASHINGTON SQUARE WEST,MANHATTAN,10011,RENT
1005550014,65 4 AVENUE,MANHATTAN,10003,RENT
1005550028,30 3 AVENUE,MANHATTAN,10003,RENT
1005560001,85 4 AVENUE,MANHATTAN,10003,RENT
1005560015,85 EAST 10 STREET,MANHATTAN,10003,RENT
1005570017,60 EAST 12 STREET,MANHATTAN,10003,RENT
1005580010,127 4 AVENUE,MANHATTAN,10003,RENT
1005580013,110 EAST 13 STREET,MANHATTAN,10003,RENT
1005590009,137 4 AVENUE,MANHATTAN,10003,RENT
1005607501,30 EAST 9 STREET,MANHATTAN,10003,RENT
1005607502,40 EAST 9 STREET,MANHATTAN,10003,RENT
1005607503,60 EAST 9 STREET,MANHATTAN,10003,RENT
1005610037,47 EAST 9 STREET,MANHATTAN,10003,RENT
1005617501,63 EAST 9 STREET,MANHATTAN,10003,RENT
1005617502,28 EAST 10 STREET,MANHATTAN,10003,RENT
1005620001,63 UNIVERSITY PLACE,MANHATTAN,10003,RENT
1005630037,801 BROADWAY,MANHATTAN,10003,RENT
1005640001,31 EAST 12 STREET,MANHATTAN,10003,RENT
1005640004,107 UNIVERSITY PLACE,MANHATTAN,10003,RENT
1005640054,120 4 AVENUE,MANHATTAN,10003,RENT
1005677501,23 5 AVENUE,MANHATTAN,10003,RENT
1005680004,39 5 AVENUE,MANHATTAN,10003,RENT
1005680006,41 5 AVENUE,MANHATTAN,10003,RENT
1005690003,45 5 AVENUE,MANHATTAN,10003,RENT
1005690005,49 5 AVENUE,MANHATTAN,10003,RENT
1005700008,6 EAST 13 STREET,MANHATTAN,10003,RENT
1005720038,20 5 AVENUE,MANHATTAN,10011,RENT
1005720049,11 WEST 8 STREET,MANHATTAN,10011,RENT
1005730019,42 WEST 10 STREET,MANHATTAN,10011,RENT
1005730043,24 5 AVENUE ,MANHATTAN,10011,RENT
1005730062,35 WEST 9 STREET,MANHATTAN,10011,RENT
1005750072,45 WEST 11 STREET,MANHATTAN,10011,RENT
1005750077,55 WEST 11 STREET,MANHATTAN,10011,RENT
1005760049,15 WEST 12 STREET,MANHATTAN,10011,RENT
1005800011,70 CHARLTON STREET,MANHATTAN,10014,RENT/ARTICLE
1005847501,442 HUDSON STREET,MANHATTAN,10014,RENT
1005870046,53 BARROW STREET,MANHATTAN,10014,RENT
1005880071,33 GROVE STREET,MANHATTAN,10014,RENT
1005900016,22 JONES STREET,MANHATTAN,10014,RENT
1005900022,12 JONES STREET,MANHATTAN,10014,RENT
1005910026,194 WEST 4 STREET ,MANHATTAN,10014,RENT
1005920040,80 GROVE STREET,MANHATTAN,10014,RENT
1005920082,129 WEST WASHINGTON PLACE ,MANHATTAN,10014,RENT
1005930036,24 CHRISTOPHER STREET,MANHATTAN,10014,RENT
1005937501,10 CHRISTOPHER STREET,MANHATTAN,10014,RENT
1006017501,421 HUDSON STREET,MANHATTAN,10014,RENT
1006070038,475 AVENUE OF THE AMERICAS,MANHATTAN,10011,RENT
1006080060,137 WEST 12 STREET,MANHATTAN,10011,RENT
1006087501,175 WEST 12 STREET,MANHATTAN,10011,RENT
1006090001,41 7 AVENUE,MANHATTAN,10011,RENT
1006090033,110 WEST 14 STREET ,MANHATTAN,10011,RENT
1006090047,509 AVENUE OF THE AMERICAS,MANHATTAN,10011,RENT
1006090053,117 WEST 13 STREET,MANHATTAN,10011,RENT
1006100060,1 CHRISTOPHER STREET,MANHATTAN,10014,RENT
1006110065,23 GREENWICH AVENUE,MANHATTAN,10014,RENT
1006127504,15 CHARLES STREET,MANHATTAN,10014,RENT
1006140061,201 WEST 11 STREET,MANHATTAN,10014,RENT
1006150036,87 GREENWICH AVENUE ,MANHATTAN,10014,RENT
1006160001,42 8 AVENUE,MANHATTAN,10014,RENT
1006160011,54 8 AVENUE,MANHATTAN,10014,RENT
1006160027,115 GREENWICH AVENUE,MANHATTAN,10014,RENT
1006167501,2 HORATIO STREET,MANHATTAN,10014,RENT
1006170021,221 WEST 12 STREET,MANHATTAN,10011,RENT
1006170036,234 WEST 13 STREET,MANHATTAN,10011,RENT
1006220041,268 WEST 11 STREET,MANHATTAN,10014,RENT
1006220056,53 PERRY STREET,MANHATTAN,10014,RENT
1006237501,295 WEST 11 STREET,MANHATTAN,10014,RENT
1006240031,8 8 AVENUE,MANHATTAN,10014,RENT
1006240041,300 WEST 12 STREET,MANHATTAN,10014,RENT
1006240044,290 WEST 12 STREET,MANHATTAN,10014,RENT
1006240060,65 BANK STREET,MANHATTAN,10014,RENT
1006247504,419 BLEECKER STREET,MANHATTAN,10014,RENT
1006260012,631 HUDSON STREET,MANHATTAN,10014,RENT
1006290044,305 WEST 13 STREET,MANHATTAN,10014,RENT
1006317503,275 WEST 10 STREET,MANHATTAN,10014,RENT
1006320017,726 GREENWICH STREET,MANHATTAN,10014,RENT
1006340023,760 GREENWICH STREET,MANHATTAN,10014,RENT
1006340036,323 WEST 11 STREET,MANHATTAN,10014,RENT
1006350026,772 GREENWICH STREET,MANHATTAN,10014,RENT
1006350042,123 BANK STREET,MANHATTAN,10014,RENT
1006360022,650 WASHINGTON STREET,MANHATTAN,10014,RENT
1006410017,100 JANE STREET,MANHATTAN,10014,RENT+INCOME
1006420042,92 HORATIO STREET,MANHATTAN,10014,RENT
1006430001,521 WEST STREET ,MANHATTAN,10014,RENT
